Age of Borrower,24 or Younger,,,25 to 34,,,35 to 49,,,50 to 61,,,62 and Older,,
State, Dollars Outstanding            (in billions) ,Borrowers    (in thousands), Average Debt Amount , Dollars Outstanding            (in billions) ,Borrowers    (in thousands), Average Debt Amount , Dollars Outstanding            (in billions) ,Borrowers    (in thousands), Average Debt Amount , Dollars Outstanding            (in billions) ,Borrowers    (in thousands), Average Debt Amount , Dollars Outstanding            (in billions) ,Borrowers    (in thousands), Average Debt Amount 
Alabama, $1.56 ,111," $14,054.05 ", $7.02 ,207.5," $33,831.33 ", $9.74 ,198.2," $49,142.28 ", $4.03 ,87.3," $46,162.66 ", $1.15 ,28.5," $40,350.88 "
Alaska, $0.10 ,8.9," $11,235.96 ", $0.72 ,24.5," $29,387.76 ", $0.99 ,22.6," $43,805.31 ", $0.39 ,8.6," $45,348.84 ", $0.12 ,2.9," $41,379.31 "
Arizona, $1.52 ,122.1," $12,448.81 ", $9.35 ,301.4," $31,021.90 ", $12.94 ,288.4," $44,868.24 ", $5.60 ,128.8," $43,478.26 ", $1.93 ,46," $41,956.52 "
Arkansas, $0.86 ,67.7," $12,703.10 ", $4.00 ,131.8," $30,349.01 ", $5.54 ,125.6," $44,108.28 ", $2.05 ,49.4," $41,497.98 ", $0.58 ,15.1," $38,410.60 "
California, $7.52 ,580," $12,965.52 ", $47.66 ,1396," $34,140.40 ", $53.84 ,1115.4," $48,269.68 ", $23.64 ,518.5," $45,593.06 ", $9.13 ,210.4," $43,393.54 "
Colorado, $1.50 ,116.7," $12,853.47 ", $9.34 ,287," $32,543.55 ", $11.43 ,241.4," $47,348.80 ", $4.64 ,96.2," $48,232.85 ", $1.58 ,32.4," $48,765.43 "
Connecticut, $1.77 ,114.2," $15,499.12 ", $5.84 ,171.2," $34,112.15 ", $5.23 ,120.1," $43,547.04 ", $3.36 ,68.3," $49,194.73 ", $1.25 ,23.7," $52,742.62 "
Delaware, $0.37 ,25.2," $14,682.54 ", $1.44 ,42.6," $33,802.82 ", $1.70 ,35.6," $47,752.81 ", $0.95 ,18.3," $51,912.57 ", $0.31 ,6," $51,666.67 "
District of Columbia, $0.24 ,13.6," $17,647.06 ", $2.74 ,49.2," $55,691.06 ", $2.48 ,35.1," $70,655.27 ", $0.69 ,13.2," $52,272.73 ", $0.30 ,6.8," $44,117.65 "
Florida, $4.74 ,349.1," $13,577.77 ", $31.74 ,905," $35,071.82 ", $40.93 ,856.9," $47,765.20 ", $17.63 ,378.6," $46,566.30 ", $5.87 ,131.9," $44,503.41 "
Georgia, $3.84 ,273.1," $14,060.78 ", $19.75 ,545.2," $36,225.24 ", $28.35 ,519," $54,624.28 ", $12.99 ,236.8," $54,856.42 ", $3.68 ,72.6," $50,688.71 "
Hawaii, $0.28 ,21.5," $13,023.26 ", $1.28 ,41," $31,219.51 ", $1.73 ,35.5," $48,732.39 ", $0.87 ,17.4," $50,000.00 ", $0.34 ,6.9," $49,275.36 "
Idaho, $0.39 ,34.6," $11,271.68 ", $2.06 ,74.5," $27,651.01 ", $3.22 ,74," $43,513.51 ", $1.15 ,26.7," $43,071.16 ", $0.36 ,8.2," $43,902.44 "
Illinois, $4.76 ,318.8," $14,930.99 ", $20.84 ,570.2," $36,548.58 ", $21.23 ,436.8," $48,603.48 ", $10.99 ,221.8," $49,549.14 ", $3.79 ,82.9," $45,717.73 "
Indiana, $2.14 ,159.7," $13,400.13 ", $9.12 ,308.7," $29,543.25 ", $11.74 ,278.9," $42,093.94 ", $5.27 ,122.5," $43,020.41 ", $1.55 ,36.4," $42,582.42 "
Iowa, $1.22 ,90," $13,555.56 ", $4.33 ,149.9," $28,885.92 ", $4.95 ,124.9," $39,631.71 ", $2.07 ,52.8," $39,204.55 ", $0.61 ,15.6," $39,102.56 "
Kansas, $0.95 ,71.9," $13,212.80 ", $3.85 ,129.9," $29,638.18 ", $4.91 ,115.3," $42,584.56 ", $2.17 ,50.3," $43,141.15 ", $0.67 ,16.1," $41,614.91 "
Kentucky, $1.36 ,100," $13,600.00 ", $6.59 ,208.7," $31,576.43 ", $8.01 ,195.2," $41,034.84 ", $3.00 ,76.8," $39,062.50 ", $0.73 ,20.1," $36,318.41 "
Louisiana, $1.69 ,126.7," $13,338.60 ", $7.14 ,217.3," $32,857.80 ", $9.08 ,196.1," $46,302.91 ", $3.45 ,81.5," $42,331.29 ", $1.09 ,29.4," $37,074.83 "
Maine, $0.53 ,36.9," $14,363.14 ", $2.12 ,67," $31,641.79 ", $2.20 ,51.9," $42,389.21 ", $1.00 ,23.4," $42,735.04 ", $0.37 ,7.8," $47,435.90 "
Maryland, $2.13 ,142," $15,000.00 ", $10.77 ,280.8," $38,354.70 ", $13.51 ,244.6," $55,233.03 ", $7.09 ,125.4," $56,539.07 ", $2.40 ,44.3," $54,176.07 "
Massachusetts, $3.48 ,225.9," $15,405.05 ", $12.00 ,343.6," $34,924.33 ", $8.97 ,200.4," $44,760.48 ", $4.51 ,95.4," $47,274.63 ", $1.83 ,36," $50,833.33 "
Michigan, $3.60 ,242.1," $14,869.89 ", $17.11 ,491.5," $34,811.80 ", $18.87 ,415," $45,469.88 ", $8.73 ,197.7," $44,157.81 ", $2.64 ,65," $40,615.38 "
